e2602ca34d97,515b602d7ff2@example.com,2015-05-08 06:12:49
,46f4a2166ebc@example.com,2014-08-14 01:22:26
5b8fbd9c0561,,2015-01-08 16:50:31
994705bfd292,,2015-10-02 07:28:28
/Users/bryanmoy/RS/spark-miniproject/files/activity.csvd3657b2ea9c2,7dc81739f98a@example.com,2014-08-14 08:23:30
11f1e000e605,74fe50b0b12e@example.com,2014-10-19 09:37:38
,71a9ab61d949@example.com,2015-07-23 14:32:25
404c7c70e96b,bb7fe1ccf2f5@example.com,2015-08-28 00:42:27
,f96dd3d3d7d0@example.com,2015-10-28 14:48:14
,7ba7531ceb78@example.com,2015-08-04 01:34:39
b828be6e9395,,2015-09-06 00:38:07
272b234d9864,,2014-11-19 12:03:26
,07459b2841d5@example.com,2015-11-05 15:59:30
,905b30a51027@example.com,2015-01-18 12:50:01
65b65f285f5f,,2015-01-05 20:32:53
831e58c6aa13,,2015-05-14 05:16:30
6ebae1b46b97,,2015-02-27 16:33:15
d41de0f4faf4,016c4038cf61@example.com,2014-10-18 13:38:56
39c358d242f1,,2014-10-23 01:21:25
,e182ea56af98@example.com,2015-08-04 23:34:50
7e4dd77eca3e,,2014-12-17 05:55:33
5b8855065dc3,dacfdcbb6b14@example.com,2014-09-12 14:47:56
,2f1b16bbfabf@example.com,2014-08-12 17:08:42
,2cecd167397e@example.com,2015-07-10 16:47:02
,aabb0f8e0b32@example.com,2014-11-15 01:35:36
,4e0c80b600b3@example.com,2015-04-24 17:38:42
7bb4900dd746,2a8d2f02d383@example.com,2015-08-22 07:53:14
,4a5f6cdb8930@example.com,2014-08-18 07:58:04
f4fecece8d32,3a70402b8760@example.com,2014-11-28 07:11:51
,4413c18187c0@example.com,2015-09-22 20:49:39
cbada8417a35,,2014-08-30 10:24:26
c5a17b3d9ae3,,2015-07-04 01:39:23
57694c24057c,4ec5551de723@example.com,2015-05-04 05:32:29
,d4e79b0fa6d0@example.com,2014-09-29 02:01:56
,0cc19504ae15@example.com,2015-05-01 22:15:23
bcd6ee93d705,,2015-11-18 04:38:06
533657a5e3d1,,2015-12-04 21:34:08
,c1956d330e1f@example.com,2014-09-25 17:26:51
